     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  8.873269994087448027e-04  8.873269994087448027e-04  8.873269994087448027e-04  8.873269994087448027e-04  8.873269994087448027e-04  8.873269994087448027e-04  8.873269994087448027e-04  8.873269994087448027e-04  8.873269994087448027e-04 
         2  2.688711990285854066e-03  2.688711990285854066e-03  2.688711990285854066e-03  2.688711990285854066e-03  2.688711990285854066e-03  2.688711990285854066e-03  2.688711990285854066e-03  2.688711990285854066e-03  2.688711990285854066e-03 
         3  5.422928737572801049e-03  5.422928737572801049e-03  5.422917282527335917e-03  5.415304764669288083e-03  5.417188611305957975e-03  5.420917661462864440e-03  5.425466128326907576e-03  5.430485966440860152e-03  5.430485966440860152e-03 
         4  9.086293594136821833e-03  9.086293594136821833e-03  9.086235900503423363e-03  9.033323500010213142e-03  9.026398719822173802e-03  9.028401997647471713e-03  9.034374854215586684e-03  9.042647029314714729e-03  9.042647029314714729e-03 
         5  1.364253163530855864e-02  1.364253163530855864e-02  1.364235751791071163e-02  1.344361473637392321e-02  1.337821373109633789e-02  1.333868574486437794e-02  1.331068390757513854e-02  1.328940925563962087e-02  1.328940925563962087e-02 
         6  1.900831445318806531e-02  1.900831445318806531e-02  1.900790666955460770e-02  1.846439606089327751e-02  1.822064309116904618e-02  1.803504162428756427e-02  1.787541494944232257e-02  1.773107270751366274e-02  1.773107270751366274e-02 
         7  2.504195184950273184e-02  2.504195184950273184e-02  2.504113574027423683e-02  2.382531878756632623e-02  2.318469885258014548e-02  2.265567724599227423e-02  2.226393007429914792e-02  2.199544940193985318e-02  2.199544940193985318e-02 
         8  3.155968584135537824e-02  3.155968584135537824e-02  3.155822150057027708e-02  2.919654727773328060e-02  2.782297993278830608e-02  2.690873681040526627e-02  2.628445274885344782e-02  2.589208189611748659e-02  2.589208189611748659e-02 
         9  3.838238471676670704e-02  3.838238471676670704e-02  3.837996318694226333e-02  3.425439872008055608e-02  3.191710029779525060e-02  3.062180702771367946e-02  2.976877657051791790e-02  2.925590996681525641e-02  2.925590996681525641e-02 
        10  4.538413309382863942e-02  4.538413309382863942e-02  4.538037761436462814e-02  3.875322223975538605e-02  3.536432601439020579e-02  3.370297680249405986e-02  3.263253836581830880e-02  3.200736268136582241e-02  3.200736268136582241e-02 
        11  5.251919140954168508e-02  5.251919140954168508e-02  5.251366346872315960e-02  4.257679801201233460e-02  3.817371288485939262e-02  3.617711245494194955e-02  3.491135460545317232e-02  3.418892346565711310e-02  3.418892346565711310e-02 
        12  5.981842232528926384e-02  5.981842232528926384e-02  5.981063090342757932e-02  4.580328025096306460e-02  4.046721099135901917e-02  3.818585883700952033e-02  3.675971658837813572e-02  3.596259179104971393e-02  3.596259179104971393e-02 
        13  6.735998136334571396e-02  6.735998136334571396e-02  6.734939292991877491e-02  4.858940258590811051e-02  4.244681581235824896e-02  3.994954663687091262e-02  3.840817150993258711e-02  3.756291978411533533e-02  3.756291978411533533e-02 
        14  7.523841765663290271e-02  7.523841765663290271e-02  7.522446446778290052e-02  5.114681371422072353e-02  4.434796448834769922e-02  4.171076332434227318e-02  4.010039768017410050e-02  3.923078873815245837e-02  3.923078873815245837e-02 
        15  8.354543318923757234e-02  8.354543318923757234e-02  8.352751815334186203e-02  5.379237361211140767e-02  4.639268519700397164e-02  4.368060960262459824e-02  4.203690165711625182e-02  4.115777693295785689e-02  4.115777693295785689e-02 
        16  9.235278344606830114e-02  9.235278344606830114e-02  9.233028071248526591e-02  5.685940887432106711e-02  4.874323588695506082e-02  4.599497820649543767e-02  4.433500832329664160e-02  4.344971749072529255e-02  4.344971749072529255e-02 
        17  1.016975905048757706e-01  1.016975905048757706e-01  1.016698416656020842e-01  6.064887969803774842e-02  5.158790796416575647e-02  4.869269179727692132e-02  4.701400923816073663e-02  4.611610750020762872e-02  4.611610750020762872e-02 
        18  1.115724833000552030e-01  1.115724833000552030e-01  1.115387898918204640e-01  6.538461025829610251e-02  5.522792192742776579e-02  5.198564647040528064e-02  5.010241652971340887e-02  4.908142660469534679e-02  4.908142660469534679e-02 
        19  1.219165411030246615e-01  1.219165411030246615e-01  1.218761548662261607e-01  7.117645882274038771e-02  5.985232657867989303e-02  5.617656591522103560e-02  5.402105450654599156e-02  5.282644776857716579e-02  5.282644776857716579e-02 
        20  1.326263803494883708e-01  1.326263803494883708e-01  1.325784932584504194e-01  7.801561193983437559e-02  6.554382770080706411e-02  6.145499927172869831e-02  5.906350153405883624e-02  5.774762654327716266e-02  5.774762654327716266e-02 
        21  1.435968945681599385e-01  1.435968945681599385e-01  1.435406309897521437e-01  8.581218306587216904e-02  7.231710884070671752e-02  6.792682100496917619e-02  6.541873514095597475e-02  6.411242812242014255e-02  6.411242812242014255e-02 
        22  1.547499268603307332e-01  1.547499268603307332e-01  1.546843397797491859e-01  9.443312075680287965e-02  8.014737586859871366e-02  7.563912045986105614e-02  7.319278774630907924e-02  7.207843297261881665e-02  7.207843297261881665e-02 
        23  1.660149762903168069e-01  1.660149762903168069e-01  1.659390481480579604e-01  1.037032173227055154e-01  8.895361101363814804e-02  8.456418104554094817e-02  8.239446874030142975e-02  8.168088017378631605e-02  8.168088017378631605e-02 
        24  1.772847776616615634e-01  1.772847776616615634e-01  1.771974251351957352e-01  1.133879224740128033e-01  9.855932470962365521e-02  9.455834223814471584e-02  9.289696990559478951e-02  9.279795137638061076e-02  9.279795137638061076e-02 
        25  1.883972975281255902e-01  1.883972975281255902e-01  1.882973796078651618e-01  1.232046282216090055e-01  1.086870380430916688e-01  1.053477986350239287e-01  1.044199177154315761e-01  1.051315312293643750e-01  1.051315312293643750e-01 
        26  1.991728462265894284e-01  1.991728462265894284e-01  1.990591757047933397e-01  1.328866605558199354e-01  1.190202704947539436e-01  1.165801525686138151e-01  1.165734728061586789e-01  1.182486965620308250e-01  1.182486965620308250e-01 
        27  2.094803227794833633e-01  2.094803227794833633e-01  2.093516815383246743e-01  1.422699785181334442e-01  1.293047734302481544e-01  1.279288308051499123e-01  1.289670505575443438e-01  1.316981809309372142e-01  1.316981809309372142e-01 
