     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05 
         2  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04 
         3  5.177466411598799891e-04  5.177466411598799891e-04  5.177504191789521638e-04  5.177466411598799891e-04  5.177466411598799891e-04  5.177466411598799891e-04  5.177466411598799891e-04  5.177466411598799891e-04  5.177466411598799891e-04 
         4  8.617458072496799945e-04  8.617458072496799945e-04  8.617647396548651318e-04  8.617458072496799945e-04  8.617458072496799945e-04  8.617458072496799945e-04  8.617458072496799945e-04  8.617458072496799945e-04  8.617458072496799945e-04 
         5  1.285492079473680082e-03  1.285492079473680082e-03  1.285548991607980262e-03  1.285492079473680082e-03  1.285492079473680082e-03  1.285492079473680082e-03  1.285492079473680082e-03  1.285492079473680082e-03  1.285492079473680082e-03 
         6  1.779674513254440220e-03  1.779674513254440220e-03  1.779807450674823852e-03  1.779674513254440220e-03  1.779674513254440220e-03  1.779674513254440220e-03  1.779674513254440220e-03  1.779674513254440220e-03  1.779674513254440220e-03 
         7  2.329632537693479902e-03  2.329632537693479902e-03  2.329898262834951671e-03  2.329632537693479902e-03  2.329632537693479902e-03  2.329632537693479902e-03  2.329632537693479902e-03  2.329632537693479902e-03  2.329632537693479902e-03 
         8  2.917022961571200286e-03  2.917022961571200286e-03  2.917499842319439506e-03  2.917022961571200286e-03  2.917022961571200286e-03  2.917022961571200286e-03  2.917022961571200286e-03  2.917022961571200286e-03  2.917022961571200286e-03 
         9  3.524383644057000296e-03  3.524383644057000296e-03  3.525173484430176463e-03  3.524383644057000296e-03  3.524383644057000296e-03  3.524383644057000296e-03  3.524383644057000296e-03  3.524383644057000296e-03  3.524383644057000296e-03 
        10  4.139775772775039324e-03  4.139775772775039324e-03  4.141004256297777485e-03  4.139775772775039324e-03  4.139775772775039324e-03  4.139775772775039324e-03  4.139775772775039324e-03  4.139775772775039324e-03  4.139775772775039324e-03 
        11  4.759234050385918735e-03  4.759234050385918735e-03  4.761049847942929250e-03  4.759234050385918735e-03  4.759234050385918735e-03  4.759234050385918735e-03  4.759234050385918735e-03  4.759234050385918735e-03  4.759234050385918735e-03 
        12  5.386219446317039999e-03  5.386219446317039999e-03  5.388792439599435734e-03  5.386219446317039999e-03  5.386219446317039999e-03  5.386219446317039999e-03  5.386219446317039999e-03  5.386219446317039999e-03  5.386219446317039999e-03 
        13  6.028609839658680136e-03  6.028609839658680136e-03  6.032129133122210093e-03  6.028609839658680136e-03  6.028609839658680136e-03  6.028609839658680136e-03  6.028609839658680136e-03  6.028609839658680136e-03  6.028609839658680136e-03 
        14  6.695620501366799857e-03  6.695620501366799857e-03  6.700292868608198442e-03  6.695620501366799857e-03  6.695620501366799857e-03  6.695620501366799857e-03  6.695620501366799857e-03  6.695620501366799857e-03  6.695620501366799857e-03 
        15  7.395934051441319795e-03  7.395934051441319795e-03  7.401983224535261911e-03  7.395934051441319795e-03  7.395934051441319795e-03  7.395934051441319795e-03  7.395934051441319795e-03  7.395934051441319795e-03  7.395934051441319795e-03 
        16  8.136085071719879533e-03  8.136085071719879533e-03  8.143752028097602999e-03  8.136085071719879533e-03  8.136085071719879533e-03  8.136085071719879533e-03  8.136085071719879533e-03  8.136085071719879533e-03  8.136085071719879533e-03 
        17  8.919113066259958672e-03  8.919113066259958672e-03  8.928657292400119308e-03  8.919113066259958672e-03  8.919113066259958672e-03  8.919113066259958672e-03  8.919113066259958672e-03  8.919113066259958672e-03  8.919113066259958672e-03 
        18  9.743705470344839539e-03  9.743705470344839539e-03  9.755406995109029353e-03  9.743705470344839539e-03  9.743705470344839539e-03  9.743705470344839539e-03  9.743705470344839539e-03  9.743705470344839539e-03  9.743705470344839539e-03 
        19  1.060342596538463994e-02  1.060342596538463994e-02  1.061758777294622216e-02  1.060342596538463994e-02  1.060342596538463994e-02  1.060342596538463994e-02  1.060342596538463994e-02  1.060342596538463994e-02  1.060342596538463994e-02 
        20  1.148789608900500046e-02  1.148789608900500046e-02  1.150484639033442537e-02  1.148789608900500046e-02  1.148789608900500046e-02  1.148789608900500046e-02  1.148789608900500046e-02  1.148789608900500046e-02  1.148789608900500046e-02 
        21  1.238680719002771893e-02  1.238680719002771893e-02  1.240690094625630270e-02  1.241710199079418958e-02  1.246112367811180559e-02  1.250751047963243219e-02  1.255356867283018152e-02  1.260383158892881827e-02  1.260383158892881827e-02 
        22  1.329266493911723974e-02  1.329266493911723974e-02  1.331628416622122890e-02  1.348727712102904680e-02  1.370103041695956356e-02  1.391693997802153152e-02  1.412923584085685330e-02  1.435282787267202695e-02  1.435282787267202695e-02 
        23  1.419882672452436011e-02  1.419882672452436011e-02  1.422637953381492709e-02  1.477058895408244268e-02  1.533533474878107095e-02  1.589448202310336095e-02  1.644123695162358692e-02  1.700795439978212281e-02  1.700795439978212281e-02 
        24  1.509515335781771994e-02  1.509515335781771994e-02  1.512707201815088887e-02  1.631600748722879593e-02  1.744787426089784710e-02  1.855391344884852953e-02  1.963090219573262324e-02  2.073674531835502030e-02  2.073674531835502030e-02 
        25  1.596631887290663951e-02  1.596631887290663951e-02  1.600305709375962615e-02  1.815219461551184632e-02  2.008682369135378690e-02  2.195819990551352990e-02  2.377383491768372825e-02  2.562603846845148275e-02  2.562603846845148275e-02 
        26  1.679549682298236285e-02  1.679549682298236285e-02  1.683752613911662296e-02  2.029509013983941262e-02  2.327688583959605650e-02  2.613641948835197445e-02  2.890162656453397830e-02  3.170842255900516160e-02  3.170842255900516160e-02 
        27  1.757079004330332206e-02  1.757079004330332206e-02  1.761859506112389145e-02  2.275751722699852903e-02  2.703288216795491847e-02  3.110146261580170809e-02  3.502370819907388994e-02  3.898818048846540429e-02  3.898818048846540429e-02 
        28  1.828921813915320230e-02  1.828921813915320230e-02  1.834329071036244416e-02  2.555654922993115530e-02  3.137202802623571818e-02  3.686746389097423499e-02  4.214998937919644389e-02  4.746921623024534520e-02  4.746921623024534520e-02 
        29  1.895685013914156364e-02  1.895685013914156364e-02  1.901768302676798417e-02  2.871890835696642996e-02  3.632665894247750354e-02  4.347019649778847972e-02  5.031895965342860627e-02  5.719109765453311151e-02  5.719109765453311151e-02 
        30  1.958634595122060729e-02  1.958634595122060729e-02  1.965442681258949137e-02  3.228519705200607465e-02  4.195675459727821882e-02  5.098813775023789546e-02  5.962728857082216088e-02  6.826742499804870634e-02  6.826742499804870634e-02 
        31  2.019282424019760297e-02  2.019282424019760297e-02  2.026863068952605706e-02  3.631008198420181826e-02  4.835506571692965716e-02  5.955261834473634525e-02  7.024496030356697229e-02  8.090608138147833972e-02  8.090608138147833972e-02 
        32  2.079063326451083965e-02  2.079063326451083965e-02  2.087462954187889463e-02  4.085671069780043296e-02  5.563894743899733958e-02  6.933703102100607918e-02  8.240184617793532007e-02  9.539318179394189190e-02  9.539318179394189190e-02 
        33  2.139326172588144198e-02  2.139326172588144198e-02  2.148589716633052260e-02  4.598562059358211884e-02  6.392764052837640598e-02  8.052242202812952276e-02  9.634167148647622414e-02  1.120353574498796079e-01  1.120353574498796079e-01 
        34  2.201385830466072446e-02  2.201385830466072446e-02  2.211556754744669825e-02  5.173732775444195991e-02  7.330661572369416568e-02  9.324363288810717798e-02  1.122501138757967948e-01  1.310698051822385135e-01  1.310698051822385135e-01 
