     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05 
         2  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04 
         3  5.177466411598799891e-04  5.177466411598799891e-04  5.177529820182062400e-04  5.177833303888759384e-04  5.204156882382258336e-04  5.251376070245631668e-04  5.307187980610359943e-04  5.367965073037998542e-04  5.367965073037998542e-04 
         4  8.617458072496799945e-04  8.617458072496799945e-04  8.617775977051438281e-04  8.618194996114312157e-04  8.671067370977824165e-04  8.765909742127306770e-04  8.879612594886977187e-04  9.013403235849311345e-04  9.013403235849311345e-04 
         5  1.285492079473680082e-03  1.285492079473680082e-03  1.285587657581605415e-03  1.285602803078581338e-03  1.293546937050478463e-03  1.307797110313337540e-03  1.324962136221106502e-03  1.345657236072765389e-03  1.345657236072765389e-03 
         6  1.779674513254440220e-03  1.779674513254440220e-03  1.779897709854783797e-03  1.779821419089986896e-03  1.790361535083135214e-03  1.809268376237165715e-03  1.832099113108532533e-03  1.859970504277116011e-03  1.859970504277116011e-03 
         7  2.329632537693479902e-03  2.329632537693479902e-03  2.330078367278445688e-03  2.329813499760594042e-03  2.342797062807194970e-03  2.366086954900887412e-03  2.394256288257415322e-03  2.428924678319342376e-03  2.428924678319342376e-03 
         8  2.917022961571200286e-03  2.917022961571200286e-03  2.917822146924111803e-03  2.917234003604157223e-03  2.932375726861898881e-03  2.959536922869466201e-03  2.992430700216925157e-03  3.033169513374512662e-03  3.033169513374512662e-03 
         9  3.524383644057000296e-03  3.524383644057000296e-03  3.525705204720203968e-03  3.524618505216735830e-03  3.541469189579839888e-03  3.571695916951437254e-03  3.608344378321207135e-03  3.653989503539173747e-03  3.653989503539173747e-03 
        10  4.139775772775039324e-03  4.139775772775039324e-03  4.141827130790982046e-03  4.140026619548864244e-03  4.158024230622489603e-03  4.190308313069234826e-03  4.229492489908895196e-03  4.278546340491995968e-03  4.278546340491995968e-03 
        11  4.759234050385918735e-03  4.759234050385918735e-03  4.762258770126440166e-03  4.759493425516252499e-03  4.778102924242208158e-03  4.811484609661657516e-03  4.852035904738927208e-03  4.903012999778256706e-03  4.903012999778256706e-03 
        12  5.386219446317039999e-03  5.386219446317039999e-03  5.390493420295313851e-03  5.386482251299638813e-03  5.405337833107256434e-03  5.439160941916989025e-03  5.480271215587344952e-03  5.532088826024291611e-03  5.532088826024291611e-03 
        13  6.028609839658680136e-03  6.028609839658680136e-03  6.034437125495539442e-03  6.028874381101884464e-03  6.047854549493426532e-03  6.081901141493829474e-03  6.123290538388163895e-03  6.175505330141942834e-03  6.175505330141942834e-03 
        14  6.695620501366799857e-03  6.695620501366799857e-03  6.703329979410016688e-03  6.695888257287582399e-03  6.715099056180619599e-03  6.749559352760734279e-03  6.791445318034525919e-03  6.844248052851262254e-03  6.844248052851262254e-03 
        15  7.395934051441319795e-03  7.395934051441319795e-03  7.405877667024517164e-03  7.396208386110655203e-03  7.415891193297861200e-03  7.451198177509023995e-03  7.494098938086786454e-03  7.548094119644509561e-03  7.548094119644509561e-03 
        16  8.136085071719879533e-03  8.136085071719879533e-03  8.148637975348862680e-03  8.136369920545795040e-03  8.156807091434853038e-03  8.193467251900671613e-03  8.237996150149133612e-03  8.293943129408266890e-03  8.293943129408266890e-03 
        17  8.919113066259958672e-03  8.919113066259958672e-03  8.934675634431723731e-03  8.919412137180355443e-03  8.940869706782232293e-03  8.979360256627976281e-03  9.026098525067119752e-03  9.084737210587319131e-03  9.084737210587319131e-03 
        18  9.743705470344839539e-03  9.743705470344839539e-03  9.762706837512680202e-03  9.744021553971729879e-03  9.766699741523344677e-03  9.807379833656901941e-03  9.856768167625738070e-03  9.918679245363147892e-03  9.918679245363147892e-03 
        19  1.060342596538463994e-02  1.060342596538463994e-02  1.062632835658257682e-02  1.060376035974699288e-02  1.062775229548959359e-02  1.067078898677059455e-02  1.072303702462357351e-02  1.078852463432500297e-02  1.078852463432500297e-02 
        20  1.148789608900500046e-02  1.148789608900500046e-02  1.151519899983668646e-02  1.151385292693106639e-02  1.159761731015213591e-02  1.170771048421319176e-02  1.182787346389418265e-02  1.196703949059510150e-02  1.196703949059510150e-02 
        21  1.238680719002771893e-02  1.238680719002771893e-02  1.241905030866316192e-02  1.257428116946679095e-02  1.285915587412560235e-02  1.317653150548384923e-02  1.350183081127754627e-02  1.385496254401524796e-02  1.385496254401524796e-02 
        22  1.329266493911723974e-02  1.329266493911723974e-02  1.333042894087572636e-02  1.385801574108013259e-02  1.453750273561266529e-02  1.524728138835335089e-02  1.595663202307848541e-02  1.670377121925012767e-02  1.670377121925012767e-02 
        23  1.419882672452436011e-02  1.419882672452436011e-02  1.424273180614315897e-02  1.541111389206563549e-02  1.670198591282040165e-02  1.800546896077006437e-02  1.929103998712419429e-02  2.062360641864409774e-02  2.062360641864409774e-02 
        24  1.509515335781771994e-02  1.509515335781771994e-02  1.514585597062771162e-02  1.725218536563659366e-02  1.936997981266375471e-02  2.146051877680438605e-02  2.350400708102310526e-02  2.560118596019054019e-02  2.560118596019054019e-02 
        25  1.596631887290663951e-02  1.596631887290663951e-02  1.602450700792544536e-02  1.937483748745276804e-02  2.251419367044868447e-02  2.555804144377467335e-02  2.851201385112700493e-02  3.152215690923838853e-02  3.152215690923838853e-02 
        26  1.679549682298236285e-02  1.679549682298236285e-02  1.686188369764569234e-02  2.175441864875270193e-02  2.607349074557658436e-02  3.019492680081505009e-02  3.416851226477346515e-02  3.819480019589156783e-02  3.819480019589156783e-02 
        27  1.757079004330332206e-02  1.757079004330332206e-02  1.764610585413482410e-02  2.435770575345713729e-02  2.996794176239723009e-02  3.524021210409795934e-02  4.029070780585158884e-02  4.538282245893335981e-02  4.538282245893335981e-02 
        28  1.828921813915320230e-02  1.828921813915320230e-02  1.837420006294116642e-02  2.715409413729747215e-02  3.411997985389318699e-02  4.056675630822711986e-02  4.670181477968785716e-02  5.285848290942940508e-02  5.285848290942940508e-02 
        29  1.895685013914156364e-02  1.895685013914156364e-02  1.905223160322978837e-02  3.012812654144964714e-02  3.848117701551099362e-02  4.609252403860497616e-02  5.328677706060096914e-02  6.047300356153367112e-02  6.047300356153367112e-02 
        30  1.958634595122060729e-02  1.958634595122060729e-02  1.969284662431076971e-02  3.329046249791566686e-02  4.305688587470485329e-02  5.181873088656805543e-02  6.004372004954008218e-02  6.822136930966941903e-02  6.822136930966941903e-02 
        31  2.019282424019760297e-02  2.019282424019760297e-02  2.031114207791161197e-02  3.668173932246875102e-02  4.791710453084001287e-02  5.784732054545163593e-02  6.710783798912924036e-02  7.627246106971140305e-02  7.627246106971140305e-02 
        32  2.079063326451083965e-02  2.079063326451083965e-02  2.092143952226487719e-02  4.036695402310546549e-02  5.318712402606540907e-02  6.436753649868892646e-02  7.473380565413816068e-02  8.494708394428664155e-02  8.494708394428664155e-02 
        33  2.139326172588144198e-02  2.139326172588144198e-02  2.153719925553352829e-02  4.442183975407586888e-02  5.901986757224781527e-02  7.161417354036113403e-02  8.324002501217298011e-02  9.464811621336072234e-02  9.464811621336072234e-02 
        34  2.201385830466072446e-02  2.201385830466072446e-02  2.217154298283340388e-02  4.891311441247540165e-02  6.555637123439576885e-02  7.980854657147853914e-02  9.293029327761377634e-02  1.057629512842560016e-01  1.057629512842560016e-01 
