     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05 
         2  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04 
         3  5.177466411598799891e-04  5.177466411598799891e-04  5.177783454515113518e-04  5.367962504160656793e-04  5.709628619399340858e-04  6.092052886789536045e-04  6.503826467363789908e-04  6.940087140240721545e-04  6.940087140240721545e-04 
         4  8.617458072496799945e-04  8.617458072496799945e-04  8.619047595269993794e-04  9.013397481014201375e-04  9.866832571538385055e-04  1.091782890351863759e-03  1.211132940453394594e-03  1.342363534941202075e-03  1.342363534941202075e-03 
         5  1.285492079473680082e-03  1.285492079473680082e-03  1.285969970013306311e-03  1.345656341287502578e-03  1.482345960174193339e-03  1.654574121686207353e-03  1.852441921422105526e-03  2.071683543452608814e-03  2.071683543452608814e-03 
         6  1.779674513254440220e-03  1.779674513254440220e-03  1.780790496256159407e-03  1.859969296089054478e-03  2.047227196204903441e-03  2.285720604786816747e-03  2.561181358440519501e-03  2.867457881830172590e-03  2.867457881830172590e-03 
         7  2.329632537693479902e-03  2.329632537693479902e-03  2.331861685618309265e-03  2.428923172991238021e-03  2.664382666661305882e-03  2.966270728349938539e-03  3.316090423651152190e-03  3.705864833645427549e-03  3.705864833645427549e-03 
         8  2.917022961571200286e-03  2.917022961571200286e-03  2.921018888335758304e-03  3.033167742195451606e-03  3.312157215722240020e-03  3.671656177608682674e-03  4.089248817139790049e-03  4.555266301584016964e-03  4.555266301584016964e-03 
         9  3.524383644057000296e-03  3.524383644057000296e-03  3.530991447373019523e-03  3.653987516795333124e-03  3.968864761947712289e-03  4.376383017659996044e-03  4.850750625970252222e-03  5.380840809912714601e-03  5.380840809912714601e-03 
        10  4.139775772775039324e-03  4.139775772775039324e-03  4.150032562854751202e-03  4.278544203186566974e-03  4.619161471313457112e-03  5.061706745485198763e-03  5.577804594421901033e-03  6.155211864629972496e-03  6.155211864629972496e-03 
        11  4.759234050385918735e-03  4.759234050385918735e-03  4.774357649088518951e-03  4.903010776830883655e-03  5.258854093523911144e-03  5.722613754660344290e-03  6.264248704450055619e-03  6.870795716338142303e-03  6.870795716338142303e-03 
        12  5.386219446317039999e-03  5.386219446317039999e-03  5.407589316208405786e-03  5.532086565228999317e-03  5.895009976100222884e-03  6.368920095901285314e-03  6.922922083608770705e-03  7.543683395582534423e-03  7.543683395582534423e-03 
        13  6.028609839658680136e-03  6.028609839658680136e-03  6.057746268842981868e-03  6.175503051625194292e-03  6.541606391012781338e-03  7.019970916562950913e-03  7.579347316549453484e-03  8.206249786817930783e-03  8.206249786817930783e-03 
        14  6.695620501366799857e-03  6.695620501366799857e-03  6.734167891582884015e-03  6.844245749011088065e-03  7.214133793019049043e-03  7.697187697680891658e-03  8.261906070754698392e-03  8.894694566541102090e-03  8.894694566541102090e-03 
        15  7.395934051441319795e-03  7.395934051441319795e-03  7.445652129357303167e-03  7.548091764527873129e-03  7.925570948436481966e-03  8.417960484664000279e-03  8.993272803063974766e-03  9.637704304078835438e-03  9.637704304078835438e-03 
        16  8.136085071719879533e-03  8.136085071719879533e-03  8.198849589864783127e-03  8.293940690003666696e-03  8.684208815110540380e-03  9.192629862551678424e-03  9.786312980647983092e-03  1.045106540447412503e-02  1.045106540447412503e-02 
        17  8.919113066259958672e-03  8.919113066259958672e-03  8.996925907118778765e-03  9.084734654549554006e-03  9.493037938701790954e-03  1.002438962683317378e-02  1.064453552073951759e-02  1.133869510430438217e-02  1.133869510430438217e-02 
        18  9.743705470344839539e-03  9.743705470344839539e-03  9.838712306184034181e-03  9.918676547138830304e-03  1.034930330429984814e-02  1.090935322208083647e-02  1.156279714345142227e-02  1.229408901024032184e-02  1.229408901024032184e-02 
        19  1.060342596538463994e-02  1.060342596538463994e-02  1.071793792137432609e-02  1.078852178029930664e-02  1.124395237346196771e-02  1.183693532630251781e-02  1.256024268891407433e-02  1.340075078779324851e-02  1.340075078779324851e-02 
        20  1.148789608900500046e-02  1.148789608900500046e-02  1.162441064316342178e-02  1.196703194634888417e-02  1.284448735732411986e-02  1.391752592604946284e-02  1.519654851889155889e-02  1.665938810133828912e-02  1.665938810133828912e-02 
        21  1.238680719002771893e-02  1.238680719002771893e-02  1.254802278320493042e-02  1.385494365124409835e-02  1.588493159522964132e-02  1.820316804437149133e-02  2.083182072580738037e-02  2.372998976202012056e-02  2.372998976202012056e-02 
        22  1.329266493911723974e-02  1.329266493911723974e-02  1.348148494790968668e-02  1.670373338689427195e-02  2.079877625240533420e-02  2.529497871897517375e-02  3.022467597387763771e-02  3.552036233960811223e-02  3.552036233960811223e-02 
        23  1.419882672452436011e-02  1.419882672452436011e-02  1.441835213261834572e-02  2.062354226943803603e-02  2.773740204957883190e-02  3.537212192832697721e-02  4.357184998207973975e-02  5.223657182884445388e-02  5.223657182884445388e-02 
        24  1.509515335781771994e-02  1.509515335781771994e-02  1.534866642186767834e-02  2.560108929027090849e-02  3.661218289403983528e-02  4.825830476039402045e-02  6.059904251380212464e-02  7.349812658114185382e-02  7.349812658114185382e-02 
        25  1.596631887290663951e-02  1.596631887290663951e-02  1.625725954800068609e-02  3.152202345058247035e-02  4.714112694884339816e-02  6.349169490632423918e-02  8.065351061545933398e-02  9.845287350910514323e-02  9.845287350910514323e-02 
        26  1.679549682298236285e-02  1.679549682298236285e-02  1.712743119629904151e-02  3.819462821241356026e-02  5.889264237548513803e-02  8.038724042266351399e-02  1.027848842449384653e-01  1.258765978866692725e-01  1.258765978866692725e-01 
        27  1.757079004330332206e-02  1.757079004330332206e-02  1.794736909746081494e-02  4.538261306536076067e-02  7.134881252004846020e-02  9.813070950050285790e-02  1.258713662514246712e-01  1.543327258876109886e-01  1.543327258876109886e-01 
        28  1.828921813915320230e-02  1.828921813915320230e-02  1.871412775809304374e-02  5.285823987402528401e-02  8.401520631185602217e-02  1.159475522917374352e-01  1.488496258090206137e-01  1.824646041271915375e-01  1.824646041271915375e-01 
        29  1.895685013914156364e-02  1.895685013914156364e-02  1.943375745958269424e-02  6.047273244558354355e-02  9.656686065188915813e-02  1.333267906254919644e-01  1.710177463020266797e-01  2.093779213075579460e-01  2.093779213075579460e-01 
        30  1.958634595122060729e-02  1.958634595122060729e-02  2.011884931667142981e-02  6.822107603430645206e-02  1.089801335194351684e-01  1.502205232716837535e-01  1.923018923019888249e-01  2.349736130232190356e-01  2.349736130232190356e-01 
        31  2.019282424019760297e-02  2.019282424019760297e-02  2.078441342876766879e-02  7.627215023386380022e-02  1.215926045273058309e-01  1.671323829141296569e-01  2.133715634477973411e-01  2.600881463855046483e-01  2.600881463855046483e-01 
        32  2.079063326451083965e-02  2.079063326451083965e-02  2.144466455328100998e-02  8.494675734007499368e-02  1.350573802342563134e-01  1.850464910341803326e-01  2.355417991432694758e-01  2.863678781955859565e-01  2.863678781955859565e-01 
        33  2.139326172588144198e-02  2.139326172588144198e-02  2.211294937414187006e-02  9.464777190532668028e-02  1.502023915997831860e-01  2.052156529813255192e-01  2.604901820987665095e-01  3.159149822375299510e-01  3.159149822375299510e-01 
        34  2.201385830466072446e-02  2.201385830466072446e-02  2.280228169552413198e-02  1.057625834298306228e-01  1.678380228445647548e-01  2.288755602791376076e-01  2.898783232831724788e-01  3.508168371770120086e-01  3.508168371770120086e-01 
