     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         2  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         3  0.000000000000000000e+00  0.000000000000000000e+00  3.348284607925237301e-08  2.669163854740568529e-05  7.078812700795757769e-05  1.188766355958292419e-04  1.699142959492125511e-04  2.230474361236904461e-04  2.230474361236904461e-04 
         4  0.000000000000000000e+00  0.000000000000000000e+00  1.678754832826553357e-07  6.774336434834071470e-05  2.008191303780628681e-04  3.532596632512642132e-04  5.200076511593596787e-04  6.969199219391116959e-04  6.969199219391116959e-04 
         5  0.000000000000000000e+00  0.000000000000000000e+00  5.047238805255175858e-07  1.089364480567065662e-04  3.314060551999960681e-04  5.887133128893851227e-04  8.717603191434663895e-04  1.173092969676640994e-03  1.173092969676640994e-03 
         6  0.000000000000000000e+00  0.000000000000000000e+00  1.178620900576837733e-06  1.495226973546056703e-04  4.603998233688422442e-04  8.215037991697519797e-04  1.219717995339619256e-03  1.644295269315402923e-03  1.644295269315402923e-03 
         7  0.000000000000000000e+00  0.000000000000000000e+00  2.354136473588195031e-06  1.882352521614187829e-04  5.839347895761830103e-04  1.044756486857483131e-03  1.553693975041786548e-03  2.096812737907855027e-03  2.096812737907855027e-03 
         8  0.000000000000000000e+00  0.000000000000000000e+00  4.219599118302626861e-06  2.232361707300115376e-04  6.964001554303386439e-04  1.248491477216585703e-03  1.858898724713572460e-03  2.510733249991042859e-03  2.510733249991042859e-03 
         9  0.000000000000000000e+00  0.000000000000000000e+00  6.976805579966190015e-06  2.521507382176480655e-04  7.904309479400179915e-04  1.419532746546243052e-03  2.115738723847099267e-03  2.859614971190510731e-03  2.859614971190510731e-03 
        10  0.000000000000000000e+00  0.000000000000000000e+00  1.082784699935548600e-05  2.729548677315318675e-04  8.593416170976798246e-04  1.545655633943816224e-03  2.305801734258196463e-03  3.118397431985189990e-03  3.118397431985189990e-03 
        11  0.000000000000000000e+00  0.000000000000000000e+00  1.596256428472220051e-05  2.853165348919383358e-04  9.013446401323159645e-04  1.623171689525986297e-03  2.423169248694860035e-03  3.278698280955781238e-03  3.278698280955781238e-03 
        12  0.000000000000000000e+00  0.000000000000000000e+00  2.255031333029176534e-05  2.910966706965905705e-04  9.215923272410045256e-04  1.660897611248130174e-03  2.480597932770359400e-03  3.357409943652294761e-03  3.357409943652294761e-03 
        13  0.000000000000000000e+00  0.000000000000000000e+00  3.073812546503785733e-05  2.936810447626572403e-04  9.304242880822961989e-04  1.677226818565998381e-03  2.505347728140179010e-03  3.391236237358593881e-03  3.391236237358593881e-03 
        14  0.000000000000000000e+00  0.000000000000000000e+00  4.065507875598764199e-05  2.966884355507541302e-04  9.394015301188235944e-04  1.693060688029071571e-03  2.528693412628068259e-03  3.422559191771608507e-03  3.422559191771608507e-03 
        15  0.000000000000000000e+00  0.000000000000000000e+00  5.242073591548847646e-05  3.027126470895250953e-04  9.572319771052195539e-04  1.724407294580527139e-03  2.574819537223493448e-03  3.484362348992335427e-03  3.484362348992335427e-03 
        16  0.000000000000000000e+00  0.000000000000000000e+00  6.615525878626747288e-05  3.128957202172815300e-04  9.880322168842544956e-04  1.779003262435703081e-03  2.655559702796015005e-03  3.592915083348448280e-03  3.592915083348448280e-03 
        17  0.000000000000000000e+00  0.000000000000000000e+00  8.198943873652748602e-05  3.272921559076804525e-04  1.032276168138575485e-03  1.857893808590888041e-03  2.772642651680839575e-03  3.750709377669375882e-03  3.750709377669375882e-03 
        18  0.000000000000000000e+00  0.000000000000000000e+00  1.000727669761367490e-04  3.451469784895887303e-04  1.087830398194102391e-03  1.957396884722437374e-03  2.920712003868296096e-03  3.950625204882797503e-03  3.950625204882797503e-03 
        19  0.000000000000000000e+00  0.000000000000000000e+00  1.205777300639759289e-04  3.650209950055864671e-04  1.159197365188250565e-03  2.129489386131547344e-03  3.247278450445179997e-03  4.456616148843283234e-03  4.456616148843283234e-03 
        20  0.000000000000000000e+00  0.000000000000000000e+00  1.436990389631760093e-04  7.289462068977756691e-04  2.030076111254598865e-03  3.598987909123605930e-03  5.408390170091214449e-03  7.347887509772901837e-03  7.347887509772901837e-03 
        21  0.000000000000000000e+00  0.000000000000000000e+00  1.696469852412614272e-04  1.833471728513730824e-03  4.414232272645784994e-03  7.380176437423887487e-03  1.070892813875365737e-02  1.421224325828237406e-02  1.421224325828237406e-02 
        22  0.000000000000000000e+00  0.000000000000000000e+00  1.986361733594320346e-04  3.922647429065026156e-03  8.721238114035002875e-03  1.403204485004661169e-02  1.984701800797102761e-02  2.587972331482867386e-02  2.587972331482867386e-02 
        23  0.000000000000000000e+00  0.000000000000000000e+00  2.308735278158512573e-04  7.097016254895681213e-03  1.507544474987403647e-02  2.368769441815411422e-02  3.295403042206591915e-02  4.247353743933618420e-02  4.247353743933618420e-02 
        24  0.000000000000000000e+00  0.000000000000000000e+00  2.665487166661878438e-04  1.133574331720307513e-02  2.336256425713294921e-02  3.612548959589465675e-02  4.969015058221339098e-02  6.353022620335500859e-02  6.353022620335500859e-02 
        25  0.000000000000000000e+00  0.000000000000000000e+00  3.058264468749679471e-04  1.651968192537279709e-02  3.327576393905513907e-02  5.083744837874094175e-02  6.933448011140704026e-02  8.811127650560873770e-02  8.811127650560873770e-02 
        26  0.000000000000000000e+00  0.000000000000000000e+00  3.488379867578027000e-04  2.245029131311554113e-02  4.435294418147050360e-02  6.708474497919864055e-02  9.085917772755423838e-02  1.148959613195666835e-01  1.148959613195666835e-01 
        27  0.000000000000000000e+00  0.000000000000000000e+00  3.956709434353129838e-04  2.887733817344314072e-02  5.603612492740410456e-02  8.399026946937684923e-02  1.130571170279283666e-01  1.423447030727242324e-01  1.423447030727242324e-01 
        28  0.000000000000000000e+00  0.000000000000000000e+00  4.463600343040247109e-04  3.555217644329013854e-02  6.778601024320796142e-02  1.007163817506910586e-01  1.347848165303047185e-01  1.690077088462451638e-01  1.690077088462451638e-01 
        29  0.000000000000000000e+00  0.000000000000000000e+00  5.008832776683022322e-04  4.230237155789401404e-02  7.923723562208266624e-02  1.167014945431768952e-01  1.552810932412129752e-01  1.939255856476690132e-01  1.939255856476690132e-01 
        30  0.000000000000000000e+00  0.000000000000000000e+00  5.591658753670697684e-04  4.910117218350286417e-02  9.033728619196336462e-02  1.318671951111630158e-01  1.744413447527365102e-01  2.169698279640427385e-01  2.169698279640427385e-01 
        31  0.000000000000000000e+00  0.000000000000000000e+00  6.210911632961833720e-04  5.610140064335172871e-02  1.014092143228131071e-01  1.467072879079666659e-01  1.929307055568971752e-01  2.389787212441708275e-01  2.389787212441708275e-01 
        32  0.000000000000000000e+00  0.000000000000000000e+00  6.865163924264532829e-04  6.361493835443605971e-02  1.131051545610389231e-01  1.622138537588101448e-01  2.120812578244075652e-01  2.616250020659524611e-01  2.616250020659524611e-01 
        33  0.000000000000000000e+00  0.000000000000000000e+00  7.552901772895283684e-04  7.204164464825889291e-02  1.262628804381555891e-01  1.796620388367004273e-01  2.336052096312531967e-01  2.870577134727820279e-01  2.870577134727820279e-01 
        34  0.000000000000000000e+00  0.000000000000000000e+00  8.272691200380179882e-04  8.177099051826684784e-02  1.417120927168952493e-01  2.003227225605060113e-01  2.592146946949077657e-01  3.174298778356847706e-01  3.174298778356847706e-01 
        35  0.000000000000000000e+00  0.000000000000000000e+00  9.023330533537215689e-04  9.308036984016038184e-02  1.600756162665239180e-01  2.251689254940837381e-01  2.902346091049978205e-01  3.544188722759818999e-01  3.544188722759818999e-01 
        36  0.000000000000000000e+00  0.000000000000000000e+00  9.803982247233607433e-04  1.060465232130196056e-01  1.815960827954803958e-01  2.546199503212367987e-01  3.272655227639756914e-01  3.988092914160105140e-01  3.988092914160105140e-01 
        37  0.000000000000000000e+00  0.000000000000000000e+00  1.061425356869263262e-03  1.204817875855361681e-01  2.060081120814193367e-01  2.883500874618326604e-01  3.699292023315824407e-01  4.501757904929232779e-01  4.501757904929232779e-01 
        38  0.000000000000000000e+00  0.000000000000000000e+00  1.145419760234893869e-03  1.359057237760867287e-01  2.324763585355312245e-01  3.251927067040643604e-01  4.167389534889022196e-01  5.067198461943138721e-01  5.067198461943138721e-01 
        39  0.000000000000000000e+00  0.000000000000000000e+00  1.232425412192737508e-03  1.515682364890717226e-01  2.596377887018331831e-01  3.632018665809423896e-01  4.651817375682745781e-01  5.653727732473151635e-01  5.653727732473151635e-01 
        40  0.000000000000000000e+00  0.000000000000000000e+00  1.322519151363642622e-03  1.665343888035114572e-01  2.857701545516708741e-01  3.999035189169662385e-01  5.120520933079654169e-01  6.222120248409729326e-01  6.222120248409729326e-01 
        41  0.000000000000000000e+00  0.000000000000000000e+00  1.415810117043448269e-03  1.798401195851485335e-01  3.090641210777570480e-01  4.326795357466412528e-01  5.539447672705092307e-01  6.730604088559656306e-01  6.730604088559656306e-01 
        42  0.000000000000000000e+00  0.000000000000000000e+00  1.512444948293229256e-03  1.912763778633219114e-01  3.290232410826109399e-01  4.607259507266605048e-01  5.897567566234472869e-01  7.165007333578956583e-01  7.165007333578956583e-01 
        43  0.000000000000000000e+00  0.000000000000000000e+00  1.612616996888822452e-03  2.007809281113894229e-01  3.454629026352550314e-01  4.837229136863404610e-01  6.190243430935736813e-01  7.519208581233438604e-01  7.519208581233438604e-01 
        44  0.000000000000000000e+00  0.000000000000000000e+00  1.716579835233773181e-03  2.084286202074193683e-01  3.584491639851209444e-01  5.017078691732156370e-01  6.417434243490991452e-01  7.792682638707606468e-01  7.792682638707606468e-01 
        45  0.000000000000000000e+00  0.000000000000000000e+00  1.824667286540324757e-03  2.144132532163006422e-01  3.682838019351982739e-01  5.150704664202253591e-01  6.583792680798482566e-01  7.990774247516743145e-01  7.990774247516743145e-01 
