     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  1.754772363781410469e-04  1.754772363781410469e-04  1.754772363781410469e-04  1.754772363781410469e-04  1.754772363781410469e-04  1.754772363781410469e-04  1.754772363781410469e-04  1.754772363781410469e-04  1.754772363781410469e-04 
         2  5.315767438742216274e-04  5.315767438742216274e-04  5.315767438742216274e-04  5.315767438742216274e-04  5.315767438742216274e-04  5.315767438742216274e-04  5.315767438742216274e-04  5.315767438742216274e-04  5.315767438742216274e-04 
         3  1.071858375226134421e-03  1.071858375226134421e-03  1.071885550089123626e-03  1.094767180656874188e-03  1.139132633804231919e-03  1.187478509844343885e-03  1.238774113725755587e-03  1.292182772971323459e-03  1.292182772971323459e-03 
         4  1.795434044612752127e-03  1.795434044612752127e-03  1.795570214540956420e-03  1.825733962266664094e-03  1.960108427547168145e-03  2.113807882350621486e-03  2.281829347928704052e-03  2.460099737401300057e-03  2.460099737401300057e-03 
         5  2.694968111906343843e-03  2.694968111906343843e-03  2.695377317795308401e-03  2.555094844180391331e-03  2.768803651323466751e-03  3.028377930846174512e-03  3.313720609414171504e-03  3.617501074366698093e-03  3.617501074366698093e-03 
         6  3.753821090991823518e-03  3.753821090991823518e-03  3.754776328260733299e-03  3.250530173181015708e-03  3.542486423085296036e-03  3.906860133464076443e-03  4.308386806368233457e-03  4.736495831359655018e-03  4.736495831359655018e-03 
         7  4.943818946774732395e-03  4.943818946774732395e-03  4.945726503101207511e-03  3.880780990431359229e-03  4.247357937274722460e-03  4.712419998414488914e-03  5.225654340854483243e-03  5.773354204249221341e-03  5.773354204249221341e-03 
         8  6.228483544177518955e-03  6.228483544177518955e-03  6.231902438262166243e-03  4.410632087163369672e-03  4.844655433917785178e-03  5.401886860983270630e-03  6.017503613563655179e-03  6.674892098368696847e-03  6.674892098368696847e-03 
         9  7.572272222407040385e-03  7.572272222407040385e-03  7.577925471443441689e-03  4.812457141892143020e-03  5.302093534500274680e-03  5.937110847241748764e-03  6.639313097478938969e-03  7.389581933922641580e-03  7.389581933922641580e-03 
