     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  1.754772363781410469e-04  1.754772363781410469e-04  1.754772363781410469e-04  1.754772363781410469e-04  1.754772363781410469e-04  1.754772363781410469e-04  1.754772363781410469e-04  1.754772363781410469e-04  1.754772363781410469e-04 
         2  5.315767438742216274e-04  5.315767438742216274e-04  5.315767438742216274e-04  5.315767438742216274e-04  5.315767438742216274e-04  5.315767438742216274e-04  5.315767438742216274e-04  5.315767438742216274e-04  5.315767438742216274e-04 
         3  1.071858375226134421e-03  1.071858375226134421e-03  1.071863810198732262e-03  1.068121759973605315e-03  1.072547175342197442e-03  1.079143181510927888e-03  1.086693850105997002e-03  1.094767891386653254e-03  1.094767891386653254e-03 
         4  1.795434044612752127e-03  1.795434044612752127e-03  1.795461278598392768e-03  1.761100154584314351e-03  1.766445559317743981e-03  1.782295919464193948e-03  1.802752509070882801e-03  1.825736746892789482e-03  1.825736746892789482e-03 
         5  2.694968111906343843e-03  2.694968111906343843e-03  2.695049953084136495e-03  2.549563874051992158e-03  2.519626301033236603e-03  2.520131133021892220e-03  2.533955431618974130e-03  2.555101061848369035e-03  2.555101061848369035e-03 
         6  3.753821090991823518e-03  3.753821090991823518e-03  3.754012138445605388e-03  3.329075557606465258e-03  3.239906607497073775e-03  3.224704564932473309e-03  3.231558297955733697e-03  3.250539820008370440e-03  3.250539820008370440e-03 
         7  4.943818946774732395e-03  4.943818946774732395e-03  4.944200458040027939e-03  4.045479763145285942e-03  3.896675928078336456e-03  3.865305719150921408e-03  3.864613916625490170e-03  3.880793994862234697e-03  3.880793994862234697e-03 
         8  6.228483544177518955e-03  6.228483544177518955e-03  6.229167322994448759e-03  4.662784672063584150e-03  4.454890765068419620e-03  4.407056653343266114e-03  4.398147732485399412e-03  4.410648262362960870e-03  4.410648262362960870e-03 
         9  7.572272222407040385e-03  7.572272222407040385e-03  7.573402872214319778e-03  5.151637718382667298e-03  4.886923422942258954e-03  4.822644895438938338e-03  4.804792108895699319e-03  4.812476141448212945e-03  4.812476141448212945e-03 
