     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  0.000000000000000000e+00  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05 
         2  0.000000000000000000e+00  0.000000000000000000e+00  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04 
         3  0.000000000000000000e+00  0.000000000000000000e+00  5.177466411598799891e-04  5.368817960637676514e-04  5.710433904190246115e-04  6.092740407387296992e-04  6.504488236411796499e-04  6.940742216480176845e-04  6.940742216480176845e-04 
         4  0.000000000000000000e+00  0.000000000000000000e+00  8.617458072496799945e-04  9.015408711992382298e-04  9.868561571152261423e-04  1.091898360689024872e-03  1.211235947240527295e-03  1.342462972253811527e-03  1.342462972253811527e-03 
         5  0.000000000000000000e+00  0.000000000000000000e+00  1.285492079473680082e-03  1.345973358060922800e-03  1.482611388747828414e-03  1.654736169428736633e-03  1.852581552864803914e-03  2.071816685676196139e-03  2.071816685676196139e-03 
         6  0.000000000000000000e+00  0.000000000000000000e+00  1.779674513254440220e-03  1.860400249405290809e-03  2.047583298455602635e-03  2.285927621635122815e-03  2.561356060243599048e-03  2.867623188452261308e-03  2.867623188452261308e-03 
         7  0.000000000000000000e+00  0.000000000000000000e+00  2.329632537693479902e-03  2.429462427791948854e-03  2.664824518163524773e-03  2.966519253875663474e-03  3.316297053329802548e-03  3.706059252455705041e-03  3.706059252455705041e-03 
         8  0.000000000000000000e+00  0.000000000000000000e+00  2.917022961571200286e-03  3.033804329490867070e-03  3.312675442714772128e-03  3.671940071533126917e-03  4.089481936000000442e-03  4.555484595364039588e-03  4.555484595364039588e-03 
         9  0.000000000000000000e+00  0.000000000000000000e+00  3.524383644057000296e-03  3.654703663202882834e-03  3.969444413797421599e-03  4.376692999481020252e-03  4.851002183146248259e-03  5.381075283165118878e-03  5.381075283165118878e-03 
        10  0.000000000000000000e+00  0.000000000000000000e+00  4.139775772775039324e-03  4.279316643980592832e-03  4.619783451015086959e-03  5.062031996295060163e-03  5.578065565036203696e-03  6.155454015092660935e-03  6.155454015092660935e-03 
        11  0.000000000000000000e+00  0.000000000000000000e+00  4.759234050385918735e-03  4.903815868640928888e-03  5.259499651793212230e-03  5.722945130302994204e-03  6.264512024503766929e-03  6.871039091145997660e-03  6.871039091145997660e-03 
        12  0.000000000000000000e+00  0.000000000000000000e+00  5.386219446317039999e-03  5.532906464896906323e-03  5.895665655221666440e-03  6.369252640302814836e-03  6.923184636855480439e-03  7.543925423775096548e-03  7.543925423775096548e-03 
        13  0.000000000000000000e+00  0.000000000000000000e+00  6.028609839658680136e-03  6.176329739142482830e-03  6.542266924179510404e-03  7.020304600129855313e-03  7.579610205471763382e-03  8.206491910990643818e-03  8.206491910990643818e-03 
        14  0.000000000000000000e+00  0.000000000000000000e+00  6.695620501366799857e-03  6.845081318227164494e-03  7.214801909487951817e-03  7.697526334192692291e-03  8.262173341918362807e-03  8.894940909001407617e-03  8.894940909001407617e-03 
