     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  0.000000000000000000e+00  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05 
         2  0.000000000000000000e+00  0.000000000000000000e+00  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04 
         3  0.000000000000000000e+00  0.000000000000000000e+00  5.177466411598799891e-04  5.371551540336693808e-04  5.712896135540510966e-04  6.094924133258576961e-04  6.506626679913346490e-04  6.942898504371430770e-04  6.942898504371430770e-04 
         4  0.000000000000000000e+00  0.000000000000000000e+00  8.617458072496799945e-04  9.021729665806892074e-04  9.873448906739532363e-04  1.092250296980780151e-03  1.211565406888117334e-03  1.342799608487863384e-03  1.342799608487863384e-03 
         5  0.000000000000000000e+00  0.000000000000000000e+00  1.285492079473680082e-03  1.346965110769023175e-03  1.483342771591681297e-03  1.655221095148495108e-03  1.853025935575670002e-03  2.072273669224227594e-03  2.072273669224227594e-03 
         6  0.000000000000000000e+00  0.000000000000000000e+00  1.779674513254440220e-03  1.861745397383433604e-03  2.048551628363249472e-03  2.286540417089907851e-03  2.561910340858575448e-03  2.868195455614473699e-03  2.868195455614473699e-03 
         7  0.000000000000000000e+00  0.000000000000000000e+00  2.329632537693479902e-03  2.431143209387223898e-03  2.666015662118680941e-03  2.967249270984728508e-03  3.316951155816879639e-03  3.706736540667329889e-03  3.706736540667329889e-03 
         8  0.000000000000000000e+00  0.000000000000000000e+00  2.917022961571200286e-03  3.035786307122349641e-03  3.314063053019778576e-03  3.672768666357767442e-03  4.090218482578901818e-03  4.556249125284701079e-03  4.556249125284701079e-03 
         9  0.000000000000000000e+00  0.000000000000000000e+00  3.524383644057000296e-03  3.656931189967034708e-03  3.970987104349459236e-03  4.377592301608553699e-03  4.851795526363939307e-03  5.381900713498187841e-03  5.381900713498187841e-03 
        10  0.000000000000000000e+00  0.000000000000000000e+00  4.139775772775039324e-03  4.281717184765419099e-03  4.621429643784587954e-03  5.062970172069674452e-03  5.578887121535959503e-03  6.156310768453377227e-03  6.156310768453377227e-03 
        11  0.000000000000000000e+00  0.000000000000000000e+00  4.759234050385918735e-03  4.906316132158193219e-03  5.261200543260418153e-03  5.723896300916936353e-03  6.265339692930168083e-03  6.871903936461672482e-03  6.871903936461672482e-03 
        12  0.000000000000000000e+00  0.000000000000000000e+00  5.386219446317039999e-03  5.535451585661134433e-03  5.897388211892612767e-03  6.370204077247051608e-03  6.924009037802009853e-03  7.544788003484835873e-03  7.544788003484835873e-03 
        13  0.000000000000000000e+00  0.000000000000000000e+00  6.028609839658680136e-03  6.178895560601790904e-03  6.544000590304894713e-03  7.021258269482001657e-03  7.580435373561681539e-03  8.207355678134723234e-03  8.207355678134723234e-03 
        14  0.000000000000000000e+00  0.000000000000000000e+00  6.695620501366799857e-03  6.847675019800821689e-03  7.216556872700341518e-03  7.698495033629050577e-03  8.263012510028918539e-03  8.895819002533621872e-03  8.895819002533621872e-03 
