     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  0.000000000000000000e+00  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05  8.591261287968000350e-05 
         2  0.000000000000000000e+00  0.000000000000000000e+00  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04  2.584728852149999765e-04 
         3  0.000000000000000000e+00  0.000000000000000000e+00  5.177466411598799891e-04  5.371909097506345244e-04  5.713229722724498093e-04  6.095240770786129834e-04  6.506948521055778848e-04  6.943233090143266593e-04  6.943233090143266593e-04 
         4  0.000000000000000000e+00  0.000000000000000000e+00  8.617458072496799945e-04  9.022531797368994050e-04  9.874120261683270658e-04  1.092308823132461231e-03  1.211626258928039318e-03  1.342866321014568945e-03  1.342866321014568945e-03 
         5  0.000000000000000000e+00  0.000000000000000000e+00  1.285492079473680082e-03  1.347089880592025612e-03  1.483443710555578656e-03  1.655306464562118426e-03  1.853115447760433562e-03  2.072373657135665945e-03  2.072373657135665945e-03 
         6  0.000000000000000000e+00  0.000000000000000000e+00  1.779674513254440220e-03  1.861913902895458465e-03  2.048685598955968766e-03  2.286651893159499273e-03  2.562027765521954562e-03  2.868327944281406916e-03  2.868327944281406916e-03 
         7  0.000000000000000000e+00  0.000000000000000000e+00  2.329632537693479902e-03  2.431353184398236944e-03  2.666180728261786578e-03  2.967385136293541892e-03  3.317094715752659864e-03  3.706899602653998364e-03  3.706899602653998364e-03 
         8  0.000000000000000000e+00  0.000000000000000000e+00  2.917022961571200286e-03  3.036033390033300410e-03  3.314255591711549008e-03  3.672925783203649999e-03  4.090384909477373480e-03  4.556439162898707346e-03  4.556439162898707346e-03 
         9  0.000000000000000000e+00  0.000000000000000000e+00  3.524383644057000296e-03  3.657208369326608692e-03  3.971201408710245927e-03  4.377765816441623117e-03  4.851979739078299617e-03  5.382112070396771406e-03  5.382112070396771406e-03 
        10  0.000000000000000000e+00  0.000000000000000000e+00  4.139775772775039324e-03  4.282015393671472284e-03  4.621658568762723393e-03  5.063154189922773954e-03  5.579082895449241630e-03  6.156536384668042858e-03  6.156536384668042858e-03 
        11  0.000000000000000000e+00  0.000000000000000000e+00  4.759234050385918735e-03  4.906626310506471966e-03  5.261437280218359686e-03  5.724085468961850540e-03  6.265541296003334162e-03  6.872137116189976427e-03  6.872137116189976427e-03 
        12  0.000000000000000000e+00  0.000000000000000000e+00  5.386219446317039999e-03  5.535767058185767434e-03  5.897628098187716883e-03  6.370395026303635536e-03  6.924212768232134926e-03  7.545024196944640285e-03  7.545024196944640285e-03 
        13  0.000000000000000000e+00  0.000000000000000000e+00  6.028609839658680136e-03  6.179213510277583449e-03  6.544242067831754564e-03  7.021450242974226069e-03  7.580640272781645830e-03  8.207593409261573422e-03  8.207593409261573422e-03 
        14  0.000000000000000000e+00  0.000000000000000000e+00  6.695620501366799857e-03  6.847996499529966294e-03  7.216801279184682436e-03  7.698689541234000205e-03  8.263220049567117712e-03  8.896059641855507544e-03  8.896059641855507544e-03 
