Count	Initial values	Iteration-1	Iteration-2	Iteration-100000	Iteration-200000	Iteration-300000	Iteration-400000	Iteration-500000	Iteration-500001
0	0.00E+00	-9.76E+01	-2.62E+01	1.47E+00	1.65E+00	1.77E+00	1.87E+00	1.94E+00	1.94E+00
1	0.00E+00	-1.00E+02	-2.76E+01	-1.93E+00	-1.76E+00	-1.66E+00	-1.57E+00	-1.52E+00	-1.52E+00
2	0.00E+00	-1.02E+02	-2.80E+01	-4.40E+00	-4.23E+00	-4.14E+00	-4.07E+00	-4.02E+00	-4.02E+00
3	0.00E+00	-1.03E+02	-2.70E+01	-5.46E+00	-5.29E+00	-5.21E+00	-5.16E+00	-5.11E+00	-5.11E+00
4	0.00E+00	-1.02E+02	-2.46E+01	-5.16E+00	-5.00E+00	-4.94E+00	-4.89E+00	-4.85E+00	-4.85E+00
5	0.00E+00	-9.96E+01	-2.11E+01	-3.87E+00	-3.72E+00	-3.67E+00	-3.64E+00	-3.60E+00	-3.60E+00
6	0.00E+00	-9.71E+01	-1.71E+01	-2.01E+00	-1.90E+00	-1.86E+00	-1.84E+00	-1.81E+00	-1.81E+00
7	0.00E+00	-9.43E+01	-1.30E+01	7.27E-03	7.67E-02	9.59E-02	9.95E-02	1.19E-01	1.19E-01
8	0.00E+00	-9.17E+01	-9.00E+00	1.89E+00	1.91E+00	1.90E+00	1.89E+00	1.89E+00	1.89E+00
9	0.00E+00	-8.95E+01	-5.38E+00	3.43E+00	3.39E+00	3.36E+00	3.32E+00	3.31E+00	3.31E+00
10	0.00E+00	-8.78E+01	-2.30E+00	4.50E+00	4.40E+00	4.34E+00	4.28E+00	4.26E+00	4.26E+00
11	0.00E+00	-8.68E+01	1.71E-01	5.06E+00	4.91E+00	4.81E+00	4.74E+00	4.70E+00	4.70E+00
12	0.00E+00	-8.63E+01	2.02E+00	5.13E+00	4.92E+00	4.81E+00	4.72E+00	4.67E+00	4.67E+00
13	0.00E+00	-8.64E+01	3.29E+00	4.76E+00	4.52E+00	4.39E+00	4.31E+00	4.24E+00	4.24E+00
14	0.00E+00	-8.70E+01	4.08E+00	4.06E+00	3.81E+00	3.69E+00	3.61E+00	3.54E+00	3.54E+00
