     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  1.480416326931105258e-03  1.480416326931105258e-03  1.480416326931105258e-03  1.480416326931105258e-03  1.480416326931105258e-03  1.480416326931105258e-03  1.480416326931105258e-03  1.480416326931105258e-03  1.480416326931105258e-03 
         2  4.581634332886828573e-03  4.581634332886828573e-03  4.581634332886828573e-03  4.581634332886828573e-03  4.581634332886828573e-03  4.581634332886828573e-03  4.581634332886828573e-03  4.581634332886828573e-03  4.581634332886828573e-03 
         3  9.432339277635839320e-03  9.432339277635839320e-03  9.432312785238167879e-03  9.453804694751020282e-03  9.494025021239341569e-03  9.537964310815518626e-03  9.584673560237792073e-03  9.633585016338087198e-03  9.633585016338087198e-03 
         4  1.612480524525578690e-02  1.612480524525578690e-02  1.612467160978415734e-02  1.614772344065450865e-02  1.626222611056748688e-02  1.639503508079933128e-02  1.654134542607105587e-02  1.669836032718354651e-02  1.669836032718354651e-02 
         5  2.469585794505684342e-02  2.469585794505684342e-02  2.469545416684874872e-02  2.453344466660378753e-02  2.463905554623210814e-02  2.479876123504152000e-02  2.499792189429867958e-02  2.522828289567564247e-02  2.522828289567564247e-02 
         6  3.509946733617667902e-02  3.509946733617667902e-02  3.509852099170082673e-02  3.424576799594998555e-02  3.400074572897909125e-02  3.387996461015430061e-02  3.384872268468331474e-02  3.388808592048452029e-02  3.388808592048452029e-02 
         7  4.718297492524727021e-02  4.718297492524727021e-02  4.718108045695883213e-02  4.467113631523517842e-02  4.334013415602591679e-02  4.247861483777333469e-02  4.221060173361278894e-02  4.205249609560824525e-02  4.205249609560824525e-02 
         8  6.070808973608381870e-02  6.070808973608381870e-02  6.070469113581219989e-02  5.501220072047033338e-02  5.183761534824328499e-02  5.022533902285161028e-02  4.971332796398374859e-02  4.934966222214585974e-02  4.934966222214585974e-02 
         9  7.542430941574804204e-02  7.542430941574804204e-02  7.541869287296405766e-02  6.443110219100675606e-02  5.913975523878336332e-02  5.677474044957189075e-02  5.601433013134603928e-02  5.543851840398614922e-02  5.543851840398614922e-02 
