     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  1.062380461764352588e-03  1.062380461764352588e-03  1.062380461764352588e-03  1.062380461764352588e-03  1.062380461764352588e-03  1.062380461764352588e-03  1.062380461764352588e-03  1.062380461764352588e-03  1.062380461764352588e-03 
         2  3.260090486001148390e-03  3.260090486001148390e-03  3.260090486001148390e-03  3.260090486001148390e-03  3.260090486001148390e-03  3.260090486001148390e-03  3.260090486001148390e-03  3.260090486001148390e-03  3.260090486001148390e-03 
         3  6.657719543169043908e-03  6.657719543169043908e-03  6.657718749580299709e-03  6.654847451802438536e-03  6.661482967950468730e-03  6.670186721394610538e-03  6.679763923024349681e-03  6.689848883412440397e-03  6.689848883412440397e-03 
         4  1.129394939981733827e-02  1.129394939981733827e-02  1.129394531431320362e-02  1.125974181689673274e-02  1.127174344363115685e-02  1.129374207596744659e-02  1.131997044891114648e-02  1.134867868425623594e-02  1.134867868425623594e-02 
         5  1.716852427055804570e-02  1.716852427055804570e-02  1.716851173251000492e-02  1.701199802657708468e-02  1.698992783806519205e-02  1.699681092644883540e-02  1.701597875156640044e-02  1.704241525254229783e-02  1.704241525254229783e-02 
         6  2.422351309279746970e-02  2.422351309279746970e-02  2.422348340432038324e-02  2.374918951241241499e-02  2.357816449827386529e-02  2.347220193687748688e-02  2.339394751302100936e-02  2.333224686784447777e-02  2.333224686784447777e-02 
         7  3.232760947897942577e-02  3.232760947897942577e-02  3.232754976073810849e-02  3.119839897696393208e-02  3.065312773904154200e-02  3.023274485100369696e-02  2.986578710109913729e-02  2.953106974683685285e-02  2.953106974683685285e-02 
         8  4.129288097394089724e-02  4.129288097394089724e-02  4.129277390596509945e-02  3.900668696792876367e-02  3.772690647157420085e-02  3.666188109294039182e-02  3.573741950478730861e-02  3.512695388518026485e-02  3.512695388518026485e-02 
         9  5.092859337309659645e-02  5.092859337309659645e-02  5.092841746632364996e-02  4.681590897192422496e-02  4.429865426390770106e-02  4.225325963624036729e-02  4.076993827121199593e-02  3.988413995252318434e-02  3.988413995252318434e-02 
        10  6.109939637525236417e-02  6.109939637525236417e-02  6.109912685743749267e-02  5.434732402280107594e-02  4.996119681166852344e-02  4.684854430090840821e-02  4.481510163374836930e-02  4.366184320512863509e-02  4.366184320512863509e-02 
        11  7.175981170552070409e-02  7.175981170552070409e-02  7.175942198010883122e-02  6.146476923910294821e-02  5.457579981772774091e-02  5.042667401016168865e-02  4.787063315729028767e-02  4.646952585232311944e-02  4.646952585232311944e-02 
        12  8.295340183377661325e-02  8.295340183377661325e-02  8.295286533005315210e-02  6.819944378031850274e-02  5.823471444440114081e-02  5.311802522677572941e-02  5.009305285941655778e-02  4.847991002907477837e-02  4.847991002907477837e-02 
        13  9.478099853957949739e-02  9.478099853957949739e-02  9.478029066890772403e-02  7.473418599804371176e-02  6.114248588597361034e-02  5.517502433883045981e-02  5.176497947057123045e-02  4.999195893090627174e-02  4.999195893090627174e-02 
        14  1.073657521894128969e-01  1.073657521894128969e-01  1.073648520906295561e-01  8.136961670187846385e-02  6.359986470940301451e-02  5.692117808758396375e-02  5.323365685367328903e-02  5.136020705320543805e-02  5.136020705320543805e-02 
        15  1.208308039960335617e-01  1.208308039960335617e-01  1.208296958022911649e-01  8.848585813150908197e-02  6.619227068240801648e-02  5.869124594455592953e-02  5.483641700372608035e-02  5.291391429805824415e-02  5.291391429805824415e-02 
        16  1.352787018271149611e-01  1.352787018271149611e-01  1.352773752818593189e-01  9.649117756441298599e-02  6.957520045105021478e-02  6.092723685534661565e-02  5.682412152905329250e-02  5.488300156176605799e-02  5.488300156176605799e-02 
        17  1.507729351691066699e-01  1.507729351691066699e-01  1.507713855295151339e-01  1.057636043421031347e-01  7.438062603975463538e-02  6.437321783819457965e-02  5.973012677901271689e-02  5.745521358694048036e-02  5.745521358694048036e-02 
        18  1.673245435324367814e-01  1.673245435324367814e-01  1.673227708227504884e-01  1.165957388427702468e-01  8.112620653529369064e-02  6.964655025795379872e-02  6.428683614784139189e-02  6.150017802718293208e-02  6.150017802718293208e-02 
        19  1.848791672805052411e-01  1.848791672805052411e-01  1.848771750748234854e-01  1.291455341406182178e-01  9.014059870162839661e-02  7.717602964103399688e-02  7.104237133467511400e-02  6.770235984625366799e-02  6.770235984625366799e-02 
        20  2.033277082792711854e-01  2.033277082792711854e-01  2.033255022804055512e-01  1.434226101919458540e-01  1.015357671845010801e-01  8.718529414905228092e-02  8.033976680157667305e-02  7.652933104094596095e-02  7.652933104094596095e-02 
        21  2.225529010353081150e-01  2.225529010353081150e-01  2.225504877654307656e-01  1.593268149682121326e-01  1.152383644503504750e-01  9.972592966880600152e-02  9.233945311084004737e-02  8.824280753283689216e-02  8.824280753283689216e-02 
        22  2.424632139859242141e-01  2.424632139859242141e-01  2.424605998749613522e-01  1.766922323550561003e-01  1.310334310230114041e-01  1.147043465173385457e-01  1.070389706352699588e-01  1.029156323069534140e-01  1.029156323069534140e-01 
        23  2.629705734256405636e-01  2.629705734256405636e-01  2.629677644558192084e-01  1.952911362275588369e-01  1.485793911752176788e-01  1.318654832685863254e-01  1.242514637226454638e-01  1.204111822497717782e-01  1.204111822497717782e-01 
        24  2.839370998541280167e-01  2.839370998541280167e-01  2.839341017742291751e-01  2.148167343514102434e-01  1.674147166841479517e-01  1.507718915037624119e-01  1.435717160265330972e-01  1.403433384979400622e-01  1.403433384979400622e-01 
