     Count               Iteration-1             Iteration-100             Iteration-200             Iteration-300             Iteration-400             Iteration-500             Iteration-600             Iteration-700             Iteration-800             Iteration-900            Iteration-1000            Iteration-1001 
         0  0.000000000000000000e+00  8.248931942186004562e+00  5.557337952817590576e+00  5.010672218309593973e+00  4.819960070241904759e+00  4.653426752527707322e+00  4.476416795181592079e+00  4.296506864302159556e+00  4.122239156043804087e+00  3.954548203789272520e+00  3.792566182909013150e+00  3.790981911923950065e+00 
         1  0.000000000000000000e+00  8.121674616244661138e+00  5.452452380828106016e+00  4.911044516839467633e+00  4.723113122157428734e+00  4.559025109891081229e+00  4.384445727553782035e+00  4.206933813520038257e+00  4.034986032119832089e+00  3.869552600113706831e+00  3.709777519304850557e+00  3.708215023061143256e+00 
         2  0.000000000000000000e+00  7.995076022572163765e+00  5.348300787476375717e+00  4.812182716107713532e+00  4.627049079365917805e+00  4.465415830972744970e+00  4.293272022886299055e+00  4.118160331927128937e+00  3.948532877748789360e+00  3.785356085025682660e+00  3.627786088492541694e+00  3.626245344285109695e+00 
         3  0.000000000000000000e+00  7.868974032494918447e+00  5.244720137116928527e+00  4.713923275083232056e+00  4.531604092367842895e+00  4.372434847145029835e+00  4.202731437986074070e+00  4.030022027635197901e+00  3.862715169299121953e+00  3.701794013984056164e+00  3.546427132007693217e+00  3.544908116021588285e+00 
         4  0.000000000000000000e+00  7.743536107225452270e+00  5.141876976129992727e+00  4.616432230498162426e+00  4.436943886378344359e+00  4.280247662056069657e+00  4.112989299880894123e+00  3.942684077210401483e+00  3.777697950041272179e+00  3.619031307970885791e+00  3.465865455683285745e+00  3.464368142981413712e+00 
         5  0.000000000000000000e+00  7.618602181276855845e+00  5.039610316573941873e+00  4.519548080682341151e+00  4.342906645339553506e+00  4.188692235795144825e+00  4.023883390134301408e+00  3.855984110120061814e+00  3.693318714719396212e+00  3.536905338199517246e+00  3.385938314478664779e+00  3.384462678990189488e+00 
         6  0.000000000000000000e+00  7.494338162818223736e+00  4.938085136781296569e+00  4.423435286356721008e+00  4.249656512866351932e+00  4.097932485985666062e+00  3.935577446080742448e+00  3.770085710108958210e+00  3.609740911075562053e+00  3.455579427744623899e+00  3.306808914240036756e+00  3.305354928752251453e+00 
         7  0.000000000000000000e+00  7.370582934022877453e+00  4.837139381946713002e+00  4.327931271402519542e+00  4.157030593184970257e+00  4.007805288884014772e+00  3.847908162065039051e+00  3.684825416576472890e+00  3.526800941333362971e+00  3.374889853167474030e+00  3.228313413431919798e+00  3.226881049582289052e+00 
         8  0.000000000000000000e+00  7.247505639489531859e+00  4.736941248949960936e+00  4.233203704898244268e+00  4.065196230541914701e+00  3.918477756230856812e+00  3.761042463842557027e+00  3.600369996602978517e+00  3.444665431977796288e+00  3.295003112112624422e+00  3.150618188656608254e+00  3.149207416904971524e+00 
         9  0.000000000000000000e+00  7.124943099126710422e+00  4.637326603541680470e+00  4.139087921651537272e+00  3.973988432851569996e+00  3.829784661923213207e+00  3.674814938140514187e+00  3.516553877312162513e+00  3.363168668775585957e+00  3.215753360894780144e+00  3.073557274695758679e+00  3.072168064320862868e+00 
        10  0.000000000000000000e+00  7.003063608508398374e+00  4.538462780920497153e+00  4.045750722938805666e+00  3.883573672608292782e+00  3.741892243057293399e+00  3.589391633845764318e+00  3.433542947175340032e+00  3.282476398207109014e+00  3.137306216049523755e+00  2.997296166180547061e+00  2.995928485272145281e+00 
        11  0.000000000000000000e+00  6.881704839203166557e+00  4.440186486299865010e+00  3.953028277263570089e+00  3.793787787781525367e+00  3.654636100972652457e+00  3.504607963176624708e+00  3.351172457308678077e+00  3.202423728886515164e+00  3.059496655856037250e+00  2.921669719215344685e+00  2.920323534678118449e+00 
        12  0.000000000000000000e+00  6.761035139126704507e+00  4.342665095485131133e+00  3.861087421097863626e+00  3.704797282718118367e+00  3.568182502282468249e+00  3.420630002838379369e+00  3.269608322758415397e+00  3.123176432953414405e+00  2.982490321858676907e+00  2.846843453010706071e+00  2.845518730558637799e+00 
        13  0.000000000000000000e+00  6.640891832879106005e+00  4.245734955429043112e+00  3.769763959613726456e+00  3.616437629014740196e+00  3.482366679897722861e+00  3.337292795181724614e+00  3.188685423771744354e+00  3.044569247468018602e+00  2.906121820354996999e+00  2.772651851476155116e+00  2.771348555637132449e+00 
        14  0.000000000000000000e+00  6.521443514521365614e+00  4.149563674979788175e+00  3.679224955848212630e+00  3.528875553190232495e+00  3.397355119230610399e+00  3.254762632997483252e+00  3.108569889247803530e+00  2.966768156558032388e+00  2.830557003310104847e+00  2.699260642942590493e+00  2.697978737037658448e+00 
        15  0.000000000000000000e+00  6.402527086971133485e+00  4.053987164531918097e+00  3.589305770562702946e+00  3.441946076717670167e+00  3.312982598399514700e+00  3.172874099878413290e+00  3.029096137236592767e+00  2.889607432068999060e+00  2.755630009133028580e+00  2.626503841057626687e+00  2.625243287202465581e+00 
        16  0.000000000000000000e+00  6.284310893368058260e+00  3.959172767294830919e+00  3.500173193426860507e+00  3.355815647132942559e+00  3.229415319249142158e+00  3.091793201149698689e+00  2.950430005800285471e+00  2.813252764324545296e+00  2.681506393363122243e+00  2.554546875419418939e+00  2.553307634504164980e+00 
        17  0.000000000000000000e+00  6.166632246365168157e+00  3.864956788846313884e+00  3.411662972790679760e+00  3.270319667980004397e+00  3.146488437455275289e+00  3.011354894138889904e+00  2.872406283415443795e+00  2.737538792695374923e+00  2.608020659373607941e+00  2.483224122380136123e+00  2.482006154065629744e+00 
        18  0.000000000000000000e+00  6.049659628529866495e+00  3.771506697792062823e+00  3.323942016533521837e+00  3.185624699839991081e+00  3.064368263731012121e+00  2.931725289523569700e+00  2.795190910474332213e+00  2.662631307219044174e+00  2.535338460126297377e+00  2.412701106960696507e+00  2.411504369662168301e+00 
        19  0.000000000000000000e+00  5.933229192738906477e+00  3.678657626420090310e+00  3.236844892921908468e+00  3.101564961358690198e+00  2.982888765002769560e+00  2.852738152665153848e+00  2.718617480768443784e+00  2.588363750231621907e+00  2.463293099935185637e+00  2.342811004713610146e+00  2.341635455601874582e+00 
        20  0.000000000000000000e+00  5.817510461619633588e+00  3.586578070085067793e+00  3.150539529959871743e+00  3.018308028553235545e+00  2.902217263665022529e+00  2.774560602809913235e+00  2.642852940625004976e+00  2.514902915445588860e+00  2.392051233488757589e+00  2.273720340716579358e+00  2.272565935702687057e+00 
        21  0.000000000000000000e+00  5.702339528938523472e+00  3.495103089183430711e+00  3.064860417799820880e+00  2.935688037626675850e+00  2.822187640784420637e+00  2.697026316657115785e+00  2.567730792822374042e+00  2.442082152208342904e+00  2.321446070431250064e+00  2.205262194449062463e+00  2.204128888184868629e+00 
        22  0.000000000000000000e+00  5.587884159993052435e+00  3.404399409789959918e+00  2.979973709583589425e+00  2.853870785976937441e+00  2.742965437255975303e+00  2.620300629653456781e+00  2.493416198040563359e+00  2.370066467068227212e+00  2.251642477063228398e+00  2.137601301616996352e+00  2.136489047489533277e+00 
        23  0.000000000000000000e+00  5.473982091999232580e+00  3.314303724290709852e+00  2.895715522260559283e+00  2.772692033181158422e+00  2.664386154945248109e+00  2.544218837291282398e+00  2.419744276274798267e+00  2.298690825336791477e+00  2.182475278009462727e+00  2.070572355942999820e+00  2.069481106069815723e+00 
        24  0.000000000000000000e+00  5.360800734476583784e+00  3.224982392025594891e+00  2.812251637418285100e+00  2.692317201986440978e+00  2.586614957827919170e+00  2.468945896383559102e+00  2.346879808250434962e+00  2.228119852617794550e+00  2.114108957886230655e+00  2.004339710944520903e+00  2.003269416175498918e+00 
        25  0.000000000000000000e+00  5.248177569634549400e+00  3.136271839912012638e+00  2.729417902090233383e+00  2.612581779290962913e+00  2.509487073110619804e+00  2.394316826322949510e+00  2.274657636819483741e+00  2.158188236333444365e+00  2.046378062939311349e+00  1.938737781687791539e+00  1.937688391601852800e+00 
