     Count               Iteration-1             Iteration-100             Iteration-200             Iteration-300             Iteration-400             Iteration-500             Iteration-600             Iteration-700             Iteration-800             Iteration-900            Iteration-1000            Iteration-1001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         2  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         3  0.000000000000000000e+00  1.219468792674514922e-09  1.578693830570087869e-09  1.856907025717906367e-09  2.118549992457363396e-09  2.371082630608543931e-09  2.614457835618128972e-09  2.848278357077843603e-09  3.072629068425130998e-09  3.287882206365470695e-09  3.494341099572374187e-09  3.496362386947243015e-09 
         4  0.000000000000000000e+00  6.088809345338306599e-09  7.878935986333882805e-09  9.264573211274731666e-09  1.056755517543667606e-08  1.182512156387424073e-08  1.303703050830204884e-08  1.420129494958437132e-08  1.531833620032877771e-08  1.639001141230677017e-08  1.741783441986740032e-08  1.742789673366717153e-08 
         5  0.000000000000000000e+00  1.824085151632572460e-08  2.359327325983296410e-08  2.773393873879628021e-08  3.162722733486170285e-08  3.538467809345393136e-08  3.900554606199773571e-08  4.248386745206057644e-08  4.582089691734321702e-08  4.902219373695752090e-08  5.209229092731763571e-08  5.212234592438668525e-08 
         6  0.000000000000000000e+00  4.250236386316924147e-08  5.494952426532626751e-08  6.457325402020001541e-08  7.362114805583400525e-08  8.235304280501115616e-08  9.076715417773417819e-08  9.884956013435150270e-08  1.066031662574396353e-07  1.140409155990068156e-07  1.211733652566577557e-07  1.212431866166525940e-07 
         7  0.000000000000000000e+00  8.488559312018687059e-08  1.096964243307363835e-07  1.288684074625853988e-07  1.468914789463030134e-07  1.642844663480121554e-07  1.810437083146186780e-07  1.971413468220131187e-07  2.125831485926026193e-07  2.273949421571561178e-07  2.415978015533262944e-07  2.417368321475588457e-07 
         8  0.000000000000000000e+00  1.525798232041490754e-07  1.970893190566420110e-07  2.314633335196253877e-07  2.637742849576590116e-07  2.949545367616533174e-07  3.249973282075803597e-07  3.538524881772480841e-07  3.815303157749921403e-07  4.080771980525033758e-07  4.335309954985533236e-07  4.337801519608374641e-07 
         9  0.000000000000000000e+00  2.529529966912008159e-07  3.265943391843315531e-07  3.834330887982805544e-07  4.368551653993437874e-07  4.884059005361913049e-07  5.380737764866989236e-07  5.857754501381627805e-07  6.315278811125796062e-07  6.754079040260439382e-07  7.174782513296104817e-07  7.178900455718836474e-07 
        10  0.000000000000000000e+00  3.935502500891760858e-07  5.078860073426829529e-07  5.960806525040994931e-07  6.789652921617608126e-07  7.589435681399756002e-07  8.359970580252215080e-07  9.099958223418461466e-07  9.809660608412512361e-07  1.049027204180621345e-06  1.114276796753430480e-06  1.114915451465526287e-06 
        11  0.000000000000000000e+00  5.820924554112762700e-07  7.508448590087943882e-07  8.809337492761672920e-07  1.003177478611944059e-06  1.121130258547000130e-06  1.234764066622742970e-06  1.343886292199582345e-06  1.448535399532596912e-06  1.548887865418037473e-06  1.645087878222474687e-06  1.646029436437630208e-06 
        12  0.000000000000000000e+00  8.264747664576291297e-07  1.065555074402699890e-06  1.249741689436597208e-06  1.422802272486223955e-06  1.589781774385019000e-06  1.750639268936655336e-06  1.905100662828059673e-06  2.053220145929994962e-06  2.195248033830870531e-06  2.331388919637677706e-06  2.332721348428200208e-06 
        13  0.000000000000000000e+00  1.134765171452812056e-06  1.462302124679033108e-06  1.714472231724191589e-06  1.951384079551335460e-06  2.179962416174118550e-06  2.400149435827639252e-06  2.611567926696104831e-06  2.814291692764443245e-06  3.008664063290734600e-06  3.194965761408977262e-06  3.196789049793382746e-06 
        14  0.000000000000000000e+00  1.515203050398703241e-06  1.951570429043417922e-06  2.287308463399588635e-06  2.602697311175740456e-06  2.906980427048551626e-06  3.200078410760377984e-06  3.481486382874311624e-06  3.751302066681779848e-06  4.009983400607211308e-06  4.257904962488689231e-06  4.260331213614020258e-06 
        15  0.000000000000000000e+00  1.976398652542180730e-06  2.544301124129487819e-06  2.980951637873197931e-06  3.391091604743583604e-06  3.786774124699092765e-06  4.167892671065441483e-06  4.533787078577432137e-06  4.884583713653970737e-06  5.220879238439857993e-06  5.543161893471900132e-06  5.546315744169891188e-06 
        16  0.000000000000000000e+00  2.527330258875090698e-06  3.251887352261567599e-06  3.808614806281329261e-06  4.331483875462951793e-06  4.835902425574016812e-06  5.321730372423757740e-06  5.788121420286704447e-06  6.235235721220178078e-06  6.663835391180570269e-06  7.074544307253142240e-06  7.078563334747375771e-06 
        17  0.000000000000000000e+00  3.177341355566807595e-06  4.086169574775993886e-06  4.784016488885211209e-06  5.439350423045137762e-06  6.071535439136848055e-06  6.680390478647017975e-06  7.264848885407534311e-06  7.825110156469021458e-06  8.362131301726582206e-06  8.876696055649503859e-06  8.881731171563899178e-06 
        18  0.000000000000000000e+00  3.936137815412840419e-06  5.059430904416326520e-06  5.921374377225578723e-06  6.730719081096679351e-06  7.511445116926168227e-06  8.263321958398613251e-06  8.985024813002983739e-06  9.676798495195335520e-06  1.033982715146763038e-05  1.097508092120146075e-05  1.098129675298927294e-05 
        19  0.000000000000000000e+00  4.813785090348225717e-06  6.184392463004364661e-06  7.235399076372457157e-06  8.222161421692764902e-06  9.173995972009326639e-06  1.009061306756577023e-05  1.097038829542887949e-05  1.181361816716926958e-05  1.262174910153431593e-05  1.339596659530504218e-05  1.340354185524868249e-05 
        20  0.000000000000000000e+00  5.820705412110711190e-06  7.474208758406067758e-06  8.741287878208855379e-06  9.930785002981812277e-06  1.107813585358511364e-05  1.218298069893892516e-05  1.324335014942402599e-05  1.425959919296551195e-05  1.523347463764693934e-05  1.616640877190357798e-05  1.617553661380430533e-05 
        21  0.000000000000000000e+00  6.967596241695638750e-06  8.942361123143890392e-06  1.045459864214331859e-05  1.187408884047975747e-05  1.324323365006477217e-05  1.456159095664925019e-05  1.582679702533694498e-05  1.703927248389233638e-05  1.820110569054910033e-05  1.931400969716317242e-05  1.932489793032102310e-05 
        22  0.000000000000000000e+00  8.265428040650846307e-06  1.060265407487924412e-05  1.239124492913537437e-05  1.406995738048029304e-05  1.568907214597948637e-05  1.724805093634095869e-05  1.874408214853877041e-05  2.017765958074888838e-05  2.155125740638347436e-05  2.286690600443252270e-05  2.287977729843433341e-05 
        23  0.000000000000000000e+00  9.725442051931105475e-06  1.246921169841698739e-05  1.456749116958618864e-05  1.653665451982400919e-05  1.843584093779891418e-05  2.026440057680913402e-05  2.201901614482232300e-05  2.370026248903237158e-05  2.531104702590858367e-05  2.685375667035041925e-05  2.686884875078873777e-05 
        24  0.000000000000000000e+00  1.135914808787459695e-05  1.455647404422921872e-05  1.699994785751391091e-05  1.929281766186082748e-05  2.150412939590478416e-05  2.363310456775308946e-05  2.567585793184011360e-05  2.763305359004776860e-05  2.950808284940689637e-05  3.130373106634627603e-05  3.132129690156548762e-05 
        25  0.000000000000000000e+00  1.317832232776699415e-05  1.687919354851477241e-05  1.970556677856752164e-05  2.235745181868929016e-05  2.491491968532801122e-05  2.737704432877443848e-05  2.973930569422802945e-05  3.200246564808179598e-05  3.417045330995799763e-05  3.624649713071770004e-05  3.626680510970915419e-05 
        26  0.000000000000000000e+00  1.519500512263237102e-05  1.945243146994121963e-05  2.270163626452072016e-05  2.574992374980138995e-05  2.868957983285985982e-05  3.151951004470869208e-05  3.423448792497841328e-05  3.683538189367667768e-05  3.932671613258230761e-05  4.171220963625764286e-05  4.173554373780008465e-05 
        27  0.000000000000000000e+00  1.742153077936478737e-05  2.229159573517987299e-05  2.600582516252809847e-05  2.949001168717345654e-05  3.284991901349414015e-05  3.608426131308781529e-05  3.918702922121136375e-05  4.215920675524033665e-05  4.500597379707408534e-05  4.773159018627992775e-05  4.775825019243651033e-05 
