Use the previous files? [y/n]
Invalid file paths.
Couldn't open a log file.
Read the target shape (430 items) in
 /Volumes/2018AD_Mac/UTokyoGoogleDrive/01MimuraLab/03Experiments/20210217VFMFigureCorrection1/01VFMSubstrateCorrection_500umWide/20210217FigureCorrectionProfilefromDS_filtered.txt
Read the unit sputter yield (255 items) in
 /Volumes/2018AD_Mac/UTokyoGoogleDrive/01MimuraLab/03Experiments/20210217VFMFigureCorrection1/01VFMSubstrateCorrection_500umWide/20210217SputterYield500um_filtered.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :     430
  # Unit     :     255
  # 1/2 Unit :     127
  # All      :     940
The number of threads
  # Total    :       6
  # Thread   :       2
  # Thread   :       4
  # Thread   :       5
  # Thread   :       0
  # Thread   :       1
  # Thread   :       3
Computation time for initialization:    0.0019

Have memorized arrays 1 times
Have memorized arrays 2 times
Have memorized arrays 3 times
loop:      2000, alpha: 1000.0000, rms:    0.6094
loop:      4000, alpha: 1000.0000, rms:    0.4912
loop:      6000, alpha: 1000.0000, rms:    0.4224
loop:      8000, alpha: 1000.0000, rms:    0.3776
loop:     10000, alpha: 1000.0000, rms:    0.3464
loop:     12000, alpha: 1000.0000, rms:    0.3234
loop:     14000, alpha: 1000.0000, rms:    0.3057
loop:     16000, alpha: 1000.0000, rms:    0.2914
loop:     18000, alpha: 1000.0000, rms:    0.2793
loop:     20000, alpha: 1000.0000, rms:    0.2689
loop:     22000, alpha: 1000.0000, rms:    0.2597
loop:     24000, alpha: 1000.0000, rms:    0.2513
loop:     26000, alpha: 1000.0000, rms:    0.2437
loop:     28000, alpha: 1000.0000, rms:    0.2367
loop:     30000, alpha: 1000.0000, rms:    0.2302
loop:     32000, alpha: 1000.0000, rms:    0.2243
loop:     34000, alpha: 1000.0000, rms:    0.2188
loop:     36000, alpha: 1000.0000, rms:    0.2137
loop:     38000, alpha: 1000.0000, rms:    0.2090
loop:     40000, alpha: 1000.0000, rms:    0.2046
loop:     42000, alpha: 1000.0000, rms:    0.2005
loop:     44000, alpha: 1000.0000, rms:    0.1968
loop:     46000, alpha: 1000.0000, rms:    0.1933
loop:     48000, alpha: 1000.0000, rms:    0.1900
loop:     50000, alpha: 1000.0000, rms:    0.1870
loop:     52000, alpha: 1000.0000, rms:    0.1842
loop:     54000, alpha: 1000.0000, rms:    0.1816
loop:     56000, alpha: 1000.0000, rms:    0.1791
loop:     58000, alpha: 1000.0000, rms:    0.1768
loop:     60000, alpha: 1000.0000, rms:    0.1747
loop:     62000, alpha: 1000.0000, rms:    0.1726
loop:     64000, alpha: 1000.0000, rms:    0.1707
loop:     66000, alpha: 1000.0000, rms:    0.1689
loop:     68000, alpha: 1000.0000, rms:    0.1673
loop:     70000, alpha: 1000.0000, rms:    0.1657
loop:     72000, alpha: 1000.0000, rms:    0.1642
loop:     74000, alpha: 1000.0000, rms:    0.1627
loop:     76000, alpha: 1000.0000, rms:    0.1614
loop:     78000, alpha: 1000.0000, rms:    0.1601
loop:     80000, alpha: 1000.0000, rms:    0.1589
loop:     82000, alpha: 1000.0000, rms:    0.1577
loop:     84000, alpha: 1000.0000, rms:    0.1566
loop:     86000, alpha: 1000.0000, rms:    0.1556
loop:     88000, alpha: 1000.0000, rms:    0.1546
loop:     90000, alpha: 1000.0000, rms:    0.1536
loop:     92000, alpha: 1000.0000, rms:    0.1527
loop:     94000, alpha: 1000.0000, rms:    0.1518
loop:     96000, alpha: 1000.0000, rms:    0.1510
loop:     98000, alpha: 1000.0000, rms:    0.1502
loop:    100000, alpha: 1000.0000, rms:    0.1494
Have memorized arrays 4 times
loop:    102000, alpha: 1000.0000, rms:    0.1486
loop:    104000, alpha: 1000.0000, rms:    0.1479
loop:    106000, alpha: 1000.0000, rms:    0.1472
loop:    108000, alpha: 1000.0000, rms:    0.1465
loop:    110000, alpha: 1000.0000, rms:    0.1459
loop:    112000, alpha: 1000.0000, rms:    0.1453
loop:    114000, alpha: 1000.0000, rms:    0.1447
loop:    116000, alpha: 1000.0000, rms:    0.1441
loop:    118000, alpha: 1000.0000, rms:    0.1435
loop:    120000, alpha: 1000.0000, rms:    0.1429
loop:    122000, alpha: 1000.0000, rms:    0.1424
loop:    124000, alpha: 1000.0000, rms:    0.1419
loop:    126000, alpha: 1000.0000, rms:    0.1414
loop:    128000, alpha: 1000.0000, rms:    0.1409
loop:    130000, alpha: 1000.0000, rms:    0.1404
loop:    132000, alpha: 1000.0000, rms:    0.1400
loop:    134000, alpha: 1000.0000, rms:    0.1395
loop:    136000, alpha: 1000.0000, rms:    0.1391
loop:    138000, alpha: 1000.0000, rms:    0.1387
loop:    140000, alpha: 1000.0000, rms:    0.1382
loop:    142000, alpha: 1000.0000, rms:    0.1378
loop:    144000, alpha: 1000.0000, rms:    0.1375
loop:    146000, alpha: 1000.0000, rms:    0.1371
loop:    148000, alpha: 1000.0000, rms:    0.1367
loop:    150000, alpha: 1000.0000, rms:    0.1363
loop:    152000, alpha: 1000.0000, rms:    0.1360
loop:    154000, alpha: 1000.0000, rms:    0.1356
loop:    156000, alpha: 1000.0000, rms:    0.1353
loop:    158000, alpha: 1000.0000, rms:    0.1350
loop:    160000, alpha: 1000.0000, rms:    0.1346
loop:    162000, alpha: 1000.0000, rms:    0.1343
loop:    164000, alpha: 1000.0000, rms:    0.1340
loop:    166000, alpha: 1000.0000, rms:    0.1337
loop:    168000, alpha: 1000.0000, rms:    0.1334
loop:    170000, alpha: 1000.0000, rms:    0.1331
loop:    172000, alpha: 1000.0000, rms:    0.1328
loop:    174000, alpha: 1000.0000, rms:    0.1325
loop:    176000, alpha: 1000.0000, rms:    0.1323
loop:    178000, alpha: 1000.0000, rms:    0.1320
loop:    180000, alpha: 1000.0000, rms:    0.1317
loop:    182000, alpha: 1000.0000, rms:    0.1315
loop:    184000, alpha: 1000.0000, rms:    0.1312
loop:    186000, alpha: 1000.0000, rms:    0.1309
