     Count               Iteration-1             Iteration-100             Iteration-200             Iteration-300             Iteration-400             Iteration-500             Iteration-600             Iteration-700             Iteration-800             Iteration-900            Iteration-1000            Iteration-1001 
         0  0.000000000000000000e+00  8.248931942185890875e+00  5.557337952817306359e+00  5.010672218309139225e+00  4.819960070241393169e+00  4.653426752527764165e+00  4.476416795181307862e+00  4.296506864302273243e+00  4.122239156043860930e+00  3.954548203789215677e+00  3.792566182909240524e+00  3.790981911924404812e+00 
         1  0.000000000000000000e+00  8.121674616245456946e+00  5.452452380828219702e+00  4.911044516840092911e+00  4.723113122157371890e+00  4.559025109891138072e+00  4.384445727553838879e+00  4.206933813521061438e+00  4.034986032119547872e+00  3.869552600113820517e+00  3.709777519304680027e+00  3.708215023061370630e+00 
         2  0.000000000000000000e+00  7.995076022572050078e+00  5.348300787476375717e+00  4.812182716107656688e+00  4.627049079366088336e+00  4.465415830972858657e+00  4.293272022886185368e+00  4.118160331927242623e+00  3.948532877749414638e+00  3.785356085025171069e+00  3.627786088492257477e+00  3.626245344285052852e+00 
         3  0.000000000000000000e+00  7.868974032495145821e+00  5.244720137116814840e+00  4.713923275083402586e+00  4.531604092367501835e+00  4.372434847145257208e+00  4.202731437986415131e+00  4.030022027635197901e+00  3.862715169298894580e+00  3.701794013984056164e+00  3.546427132007693217e+00  3.544908116021701971e+00 
         4  0.000000000000000000e+00  7.743536107225565956e+00  5.141876976129765353e+00  4.616432230498162426e+00  4.436943886378401203e+00  4.280247662056069657e+00  4.112989299881235183e+00  3.942684077210628857e+00  3.777697950040760588e+00  3.619031307971397382e+00  3.465865455682774154e+00  3.464368142981243182e+00 
         5  0.000000000000000000e+00  7.618602181276969532e+00  5.039610316574112403e+00  4.519548080682454838e+00  4.342906645339382976e+00  4.188692235795372198e+00  4.023883390134415095e+00  3.855984110119379693e+00  3.693318714719453055e+00  3.536905338199574089e+00  3.385938314479005840e+00  3.384462678990530549e+00 
         6  0.000000000000000000e+00  7.494338162818280580e+00  4.938085136781239726e+00  4.423435286356777851e+00  4.249656512866692992e+00  4.097932485985438689e+00  3.935577446080969821e+00  3.770085710109071897e+00  3.609740911075675740e+00  3.455579427744339682e+00  3.306808914240150443e+00  3.305354928752080923e+00 
         7  0.000000000000000000e+00  7.370582934023275357e+00  4.837139381947110905e+00  4.327931271402519542e+00  4.157030593185083944e+00  4.007805288883560024e+00  3.847908162065436954e+00  3.684825416576586576e+00  3.526800941333362971e+00  3.374889853167360343e+00  3.228313413432374546e+00  3.226881049582743799e+00 
         8  0.000000000000000000e+00  7.247505639489190798e+00  4.736941248950245154e+00  4.233203704898585329e+00  4.065196230541289424e+00  3.918477756230629439e+00  3.761042463842954930e+00  3.600369996603205891e+00  3.444665431978023662e+00  3.295003112112851795e+00  3.150618188656324037e+00  3.149207416905198897e+00 
         9  0.000000000000000000e+00  7.124943099127165169e+00  4.637326603541396253e+00  4.139087921651366742e+00  3.973988432851513153e+00  3.829784661923497424e+00  3.674814938140571030e+00  3.516553877311991982e+00  3.363168668775358583e+00  3.215753360894666457e+00  3.073557274695474462e+00  3.072168064320862868e+00 
